lambda_m,alpha_df1e+00,alpha_df1e-01,alpha_df1e-02,alpha_df1e-03
1.000000000000000000e+03 2.753625389536942415e-07 2.753625389536942521e-06 2.753625389536942521e-05 2.753625389536942521e-04
3.162277660168379498e+03 2.753625389536942216e-08 2.753625389536941885e-07 2.753625389536942521e-06 2.753625389536942182e-05
1.000000000000000000e+04 2.753625389536942712e-09 2.753625389536942547e-08 2.753625389536942415e-07 2.753625389536942944e-06
3.162277660168379225e+04 2.753625389536942919e-10 2.753625389536942712e-09 2.753625389536942878e-08 2.753625389536942944e-07
1.000000000000000000e+05 2.753625389536942531e-11 2.753625389536942402e-10 2.753625389536942712e-09 2.753625389536942547e-08
3.162277660168379080e+05 2.753625389536942774e-12 2.753625389536942531e-11 2.753625389536942402e-10 2.753625389536942712e-09
1.000000000000000000e+06 2.753625389536942471e-13 2.753625389536942774e-12 2.753625389536942531e-11 2.753625389536942919e-10
3.162277660168379545e+06 2.753625389536942534e-14 2.753625389536942471e-13 2.753625389536942774e-12 2.753625389536942531e-11
1.000000000000000000e+07 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
3.162277660168379173e+07 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
1.000000000000000000e+08 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
3.162277660168379545e+08 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
1.000000000000000000e+09 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
3.162277660168379307e+09 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
1.000000000000000000e+10 5.491812087098392108e-15 5.491812087098391792e-14 5.491812087098392297e-13 5.491812087098392297e-12
